"Fradato";"Tildato";"Forbrug i kroner"
"=""14-01-2024 22:00""";"=""14-01-2024 23:00""";"2,09 kr."
"=""14-01-2024 23:00""";"=""15-01-2024 00:00""";"0,63 kr."
"=""15-01-2024 00:00""";"=""15-01-2024 01:00""";"22,08 kr."
"=""15-01-2024 01:00""";"=""15-01-2024 02:00""";"22,64 kr."
"=""15-01-2024 02:00""";"=""15-01-2024 03:00""";"21,78 kr."
"=""15-01-2024 03:00""";"=""15-01-2024 04:00""";"21,59 kr."
"=""15-01-2024 04:00""";"=""15-01-2024 05:00""";"21,63 kr."
"=""15-01-2024 05:00""";"=""15-01-2024 06:00""";"6,50 kr."
"=""15-01-2024 06:00""";"=""15-01-2024 07:00""";"0,44 kr."
"=""15-01-2024 07:00""";"=""15-01-2024 08:00""";"0,45 kr."
"=""15-01-2024 08:00""";"=""15-01-2024 09:00""";"0,76 kr."
"=""15-01-2024 09:00""";"=""15-01-2024 10:00""";"0,71 kr."
"=""15-01-2024 10:00""";"=""15-01-2024 11:00""";"1,06 kr."
"=""15-01-2024 11:00""";"=""15-01-2024 12:00""";"3,98 kr."
"=""15-01-2024 12:00""";"=""15-01-2024 13:00""";"1,93 kr."
"=""15-01-2024 13:00""";"=""15-01-2024 14:00""";"0,84 kr."
"=""15-01-2024 14:00""";"=""15-01-2024 15:00""";"0,65 kr."
"=""15-01-2024 15:00""";"=""15-01-2024 16:00""";"1,19 kr."
"=""15-01-2024 16:00""";"=""15-01-2024 17:00""";"1,34 kr."
"=""15-01-2024 17:00""";"=""15-01-2024 18:00""";"1,34 kr."
"=""15-01-2024 18:00""";"=""15-01-2024 19:00""";"1,18 kr."
